#####################################
# REGIONS
#####################################
Bangladesh,Bangladesh,Dhaka,Bangladeshi,,,,,
Barbados,Barbados,Bridgetown,Barbadian,,,,,
Belarus,Belarus,Minsk,Belarusian,,,,,
Belgium,Belgium,Brussels,Belgian,,,,,
Belize,Belize,Belmopan,Belizean,,,,,
Benin,Benin,Porto-Novo,,,,,,
Bermuda,Bermuda,Hamilton,Bermudian,,,,,
Bhutan,Bhutan,Thimphu,,,,,,
Bolivia,Bolivia,Sucre,,,,,,
Bonaire,Bonaire,Saint Eustatius and Saba,,,,,,
Bosnia and Herzegovina,Bosnia and Herzegovina,Sarajevo,Bosnian,,,,,
Botswana,Botswana,Gaborone,,,,,,
Bouvet Island,Bouvet Island,,,,,,,
Brazil,Brazil,Brasilia,Brazilian,,,,,
British Indian Ocean Territory,British Indian Ocean Territory,Diego Garcia,,,,,,
British Virgin Islands,British Virgin Islands,Road Town,British virgin islander,,,,,
Brunei,Brunei,Bandar Seri Begawan,,,,,,
Bulgaria,Bulgaria,Sofia,Bulgarian,,,,,
Burkina Faso,Burkina Faso,Ouagadougou,Burkinabè,,,,,
Burundi,Burundi,Bujumbura,Burundian,,,,,
Cambodia,Cambodia,Phnom Penh,Cambodian,,,,,
Cameroon,Cameroon,Yaounde,Cameroonian,,,,,
Canada,Canada,Ottawa,Quebecer,,,,,
Cape Verde,Cape Verde,Praia,Cape verdean,,,,,
Cayman Islands,Cayman Islands,George Town,,,,,,
Central African Republic,Central African Republic,Bangui,,,,,,
Chad,Chad,N'Djamena,Chadian,,,,,
Chile,Chile,Santiago,Chilean,,,,,
China,China,Beijing,Chinese,,,,,
Christmas Island,Christmas Island,Flying Fish Cove,,,,,,
Cocos Islands,Cocos Islands,West Island,,,,,,
Colombia,Colombia,Bogota,Colombian,,,,,
Comoros,Comoros,Moroni,Comorian,,,,,
Cook Islands,Cook Islands,Avarua,,,,,,
Costa Rica,Costa Rica,San Jose,,,,,,
Croatia,Croatia,Zagreb,Croatian,,,,,
Cuba,Cuba,Havana,Cuban,,,,,
Curacao,Curacao,Willemstad,,,,,,
Cyprus,Cyprus,Nicosia,Cypriot,,,,,
Czech Republic,Czech Republic,Prague,Czech,,,,,
Democratic Republic of the Congo,Democratic Republic of the Congo,Kinshasa,,,,,,
Denmark,Denmark,Copenhagen,Dane,,,,,
Djibouti,Djibouti,Djibouti,,,,,,
Dominica,Dominica,Roseau,Dominican,,,,,
Dominican Republic,Dominican Republic,Santo Domingo,Dominican,,,,,
East Timor,East Timor,Dili,East timorese,,,,,
Ecuador,Ecuador,Quito,Ecuadorian,,,,,
Egypt,Egypt,Cairo,Egyptian,,,,,
El Salvador,El Salvador,San Salvador,Salvadoran,,,,,
Equatorial Guinea,Equatorial Guinea,Malabo,,,,,,
Eritrea,Eritrea,Asmara,Eritrean,,,,,
Estonia,Estonia,Tallinn,Estonian,,,,,
Ethiopia,Ethiopia,Addis Ababa,Ethiopian,,,,,
Falkland Islands,Falkland Islands,Stanley,,,,,,
Faroe Islands,Faroe Islands,Torshavn,Faroese,,,,,
Fiji,Fiji,Suva,Fijian,,,,,
Finland,Finland,Helsinki,Finnish,,,,,
France,France,Paris,French,,,,,
French Guiana,French Guiana,Cayenne,Guianese,,,,,
French Polynesia,French Polynesia,Papeete,,,,,,
French Southern Territories,French Southern Territories,Port-aux-Francais,,,,,,
Gabon,Gabon,Libreville,,,,,,
Gambia,Gambia,Banjul,,,,,,
Georgia,Georgia,Tbilisi,Georgian,,,,,
Germany,Germany,Berlin,German,,,,,
Ghana,Ghana,Accra,Ghanaian,,,,,
Gibraltar,Gibraltar,Gibraltar,Gibraltar,,,,,
Greece,Greece,Athens,Greek,,,,,
Greenland,Greenland,Nuuk,,,,,,
Grenada,Grenada,St. George's,Grenadian,,,,,
Guadeloupe,Guadeloupe,Basse-Terre,,,,,,
Guam,Guam,Hagatna,,,,,,
Guatemala,Guatemala,Guatemala City,Guatemalan,,,,,
Guernsey,Guernsey,St Peter Port,,,,,,
Guinea,Guinea,Conakry,Guinean,,,,,
Guinea-Bissau,Guinea-Bissau,Bissau,Guinea-bissau,,,,,
Guyana,Guyana,Georgetown,Guyanese,,,,,
Haiti,Haiti,Port-au-Prince,Haitian,,,,,
Heard Island and McDonald Islands,Heard Island and McDonald Islands,,,,,,,
Honduras,Honduras,Tegucigalpa,Honduran,,,,,
Hong Kong,Hong Kong,Hong Kong,Hong kong,,,,,
Hungary,Hungary,Budapest,Hungarian,,,,,
Iceland,Iceland,Reykjavik,Icelander,,,,,
India,India,New Delhi,Indian,,,,,
Indonesia,Indonesia,Jakarta,Indonesian,,,,,
Iran,Iran,Tehran,Iranian,,,,,
Iraq,Iraq,Baghdad,,,,,,
Ireland,Ireland,Dublin,Irish,,,,,
Isle of Man,Isle of Man,Douglas,Isle of Man,Manx,,,,
Israel,Israel,Jerusalem,Israeli,,,,,
Italy,Italy,Rome,Italian,,,,,
Ivory Coast,Ivory Coast,Yamoussoukro,Ivorian,,,,,
Jamaica,Jamaica,Kingston,Jamaican,,,,,
Japan,Japan,Tokyo,Japanese,,,,,
Jersey,Jersey,Saint Helier,,,,,,
Jordan,Jordan,Amman,Jordanian,,,,,
Kazakhstan,Kazakhstan,Astana,Kazakh,,,,,
Kenya,Kenya,Nairobi,Kenyan,,,,,
Kiribati,Kiribati,Tarawa,,,,,,
Kosovo,Kosovo,Pristina,,,,,,
Kuwait,Kuwait,Kuwait City,Kuwaiti,,,,,
Kyrgyzstan,Kyrgyzstan,Bishkek,,,,,,
Laos,Laos,Vientiane,Lao,,,,,
Latvia,Latvia,Riga,Latvian,,,,,
Lebanon,Lebanon,Beirut,Lebanese,,,,,
Lesotho,Lesotho,Maseru,,,,,,
Liberia,Liberia,Monrovia,Liberian,,,,,
Libya,Libya,Tripolis,Libyan,,,,,
Liechtenstein,Liechtenstein,Vaduz,Liechtensteiner,,,,,
Lithuania,Lithuania,Vilnius,Lithuanian,,,,,
Luxembourg,Luxembourg,Luxembourg,Luxembourger,,,,,
Macao,Macao,Macao,,,,,,
Macedonia,Macedonia,Skopje,Macedonian,,,,,
Madagascar,Madagascar,Antananarivo,,,,,,
Malawi,Malawi,Lilongwe,Malawian,,,,,
Malaysia,Malaysia,Kuala Lumpur,Malaysian,,,,,
Maldives,Maldives,Male,Maldivian,,,,,
Mali,Mali,Bamako,Malian,,,,,
Malta,Malta,Valletta,Maltese,,,,,
Marshall Islands,Marshall Islands,Majuro,,,,,,
Martinique,Martinique,Fort-de-France,,,,,,
Mauritania,Mauritania,Nouakchott,Mauritian,,,,,
Mauritius,Mauritius,Port Louis,,,,,,
Mayotte,Mayotte,Mamoudzou,,,,,,
Mexico,Mexico,Mexico City,Mexican,,,,,
Micronesia,Micronesia,Palikir,,,,,,
Moldova,Moldova,Chisinau,Moldovan,Transnistria,,,,
Monaco,Monaco,Monaco,,,,,,
Mongolia,Mongolia,Ulan Bator,Mongolian,,,,,
Montenegro,Montenegro,Podgorica,Montenegrin,,,,,
Montserrat,Montserrat,Plymouth,,,,,,
Morocco,Morocco,Rabat,Moroccan,,,,,
Mozambique,Mozambique,Maputo,,,,,,
Myanmar,Myanmar,Nay Pyi Taw,,,,,,
Namibia,Namibia,Windhoek,Namibian,,,,,
Nauru,Nauru,Yaren,,,,,,
Nepal,Nepal,Kathmandu,Nepalese,,,,,
Netherlands,Netherlands,Amsterdam,Dutch,,,,,
Netherlands Antilles,Netherlands Antilles,Willemstad,,,,,,
New Caledonia,New Caledonia,Noumea,,,,,,
New Zealand,New Zealand,Wellington,New zealander,,,,,
Nicaragua,Nicaragua,Managua,Nicaraguan,,,,,
Niger,Niger,Niamey,Nigerien,,,,,
Nigeria,Nigeria,Abuja,Nigerian,,,,,
Niue,Niue,Alofi,,,,,,
Norfolk Island,Norfolk Island,Kingston,,,,,,
North Korea,North Korea,Pyongyang,,,,,,
Northern Mariana Islands,Northern Mariana Islands,Saipan,,,,,,
Norway,Norway,Oslo,Norwegian,,,,,
Oman,Oman,Muscat,,,,,,
Pakistan,Pakistan,Islamabad,Pakistani,,,,,
Palau,Palau,Melekeok,Palauan,,,,,
Palestinian Territory,Palestinian Territory,East Jerusalem,Palestinian,Palestinian Territories,,,,
Panama,Panama,Panama City,Panamanian,,,,,
Papua New Guinea,Papua New Guinea,Port Moresby,Papua new guinean,,,,,
Paraguay,Paraguay,Asuncion,Paraguayan,,,,,
Peru,Peru,Lima,Peruvian,,,,,
Philippines,Philippines,Manila,Filipino,,,,,
Pitcairn,Pitcairn,Adamstown,,,,,,
Poland,Poland,Warsaw,Pole,,,,,
Portugal,Portugal,Lisbon,Portuguese,,,,,
Puerto Rico,Puerto Rico,San Juan,Puerto rican,,,,,
Qatar,Qatar,Doha,,,,,,
Republic of the Congo,Republic of the Congo,Brazzaville,Congolese,,,,,
Reunion,Reunion,Saint-Denis,Réunionnai,,,,,
Romania,Romania,Bucharest,Romanian,,,,,
Russia,Russia,Moscow,Russian,,,,,
Rwanda,Rwanda,Kigali,Rwandan,,,,,
Saint Barthelemy,Saint Barthelemy,Gustavia,,,,,,
Saint Helena,Saint Helena,Jamestown,,,,,,
Saint Kitts and Nevis,Saint Kitts and Nevis,Basseterre,,,,,,
Saint Lucia,Saint Lucia,Castries,St lucian,,,,,
Saint Martin,Saint Martin,Marigot,,,,,,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,Saint-Pierre,,,,,,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Kingstown,,,,,,
Samoa,Samoa,Apia,,,,,,
San Marino,San Marino,San Marino,,,,,,
Sao Tome and Principe,Sao Tome and Principe,Sao Tome,São tomé and príncipe,,,,,
Saudi Arabia,Saudi Arabia,Riyadh,Saudi,,,,,
Senegal,Senegal,Dakar,Senegalese,,,,,
Serbia,Serbia,Belgrade,Serb,,,,,
Serbia and Montenegro,Serbia and Montenegro,Belgrade,,,,,,
Seychelles,Seychelles,Victoria,,,,,,
Sierra Leone,Sierra Leone,Freetown,Sierra leonean,,,,,
Singapore,Singapore,Singapur,Singaporean,,,,,
Sint Maarten,Sint Maarten,Philipsburg,,,,,,
Slovakia,Slovakia,Bratislava,Slovak,,,,,
Slovenia,Slovenia,Ljubljana,Slovene,,,,,
Solomon Islands,Solomon Islands,Honiara,,,,,,
Somalia,Somalia,Mogadishu,Somali,,,,,
South Africa,South Africa,Pretoria,South african,,,,,
South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,Grytviken,,,,,,
South Korea,South Korea,Seoul,South korean,,,,,
South Sudan,South Sudan,Juba,,,,,,
Spain,Spain,Madrid,Spanish,,,,,
Sri Lanka,Sri Lanka,Colombo,Sri lankan,,,,,
Sudan,Sudan,Khartoum,Sudanese,Darfur,,,,
Suriname,Suriname,Paramaribo,Surinamese,,,,,
Svalbard and Jan Mayen,Svalbard and Jan Mayen,Longyearbyen,,,,,,
Swaziland,Swaziland,Mbabane,Swazi,,,,,
Sweden,Sweden,Stockholm,Swedish,,,,,
Switzerland,Switzerland,Berne,Swiss,,,,,
Syria,Syria,Damascus,Syrian,Homs,,,,
Taiwan,Taiwan,Taipei,Taiwanese,,,,,
Tajikistan,Tajikistan,Dushanbe,,,,,,
Tanzania,Tanzania,Dodoma,Tanzanian,,,,,
Thailand,Thailand,Bangkok,Thai,,,,,
Togo,Togo,Lome,,,,,,
Tokelau,Tokelau,,,,,,,
Tonga,Tonga,Nuku'alofa,,,,,,
Trinidad and Tobago,Trinidad and Tobago,Port of Spain,Trinidadian,,,,,
Tunisia,Tunisia,Tunis,Tunisian,,,,,
Turkey,Turkey,Ankara,Turkish,,,,,
Turkmenistan,Turkmenistan,Ashgabat,,,,,,
Turks and Caicos Islands,Turks and Caicos Islands,Cockburn Town,,,,,,
Tuvalu,Tuvalu,Funafuti,Tuvaluan,,,,,
U.S. Virgin Islands,U.S. Virgin Islands,Charlotte Amalie,,,,,,
Uganda,Uganda,Kampala,Ugandan,,,,,
Ukraine,Ukraine,Kiev,Ukrainian,Sevastopol,Crimea,,,
United Arab Emirates,United Arab Emirates,Abu Dhabi,Emirati,,,,,
United Kingdom,United Kingdom,London,Welsh,,,,,
United States,United States,Washington,American,,,,,
United States Minor Outlying Islands,United States Minor Outlying Islands,,,,,,,
Uruguay,Uruguay,Montevideo,Uruguayan,,,,,
Uzbekistan,Uzbekistan,Tashkent,Uzbek,,,,,
Vanuatu,Vanuatu,Port Vila,Vanuatuan,,,,,
Vatican,Vatican,Vatican City,,,,,,
Venezuela,Venezuela,Caracas,Venezuelan,,,,,
Vietnam,Vietnam,Hanoi,Vietnamese,,,,,
Wallis and Futuna,Wallis and Futuna,Mata Utu,,,,,,
Western Sahara,Western Sahara,El-Aaiun,,,,,,
Yemen,Yemen,Sanaa,Yemeni,,,,,
Zambia,Zambia,Lusaka,Zambian,,,,,
Zimbabwe,Zimbabwe,Harare,Zimbabwean,,,,,
